run_id,ensemble_method,pool_name,dataset,task,num_models,test_macro_f1,test_weighted_f1,test_accuracy,val_macro_f1
hard_vote_top_3_banglasarc_binary,hard_vote,top_3,banglasarc,binary,3,0.9855,0.9863,0.9863,0.9917
soft_vote_top_3_banglasarc_binary,soft_vote,top_3,banglasarc,binary,3,0.9855,0.9863,0.9863,0.9917
stacking_top_3_banglasarc_binary,stacking,top_3,banglasarc,binary,3,0.9855,0.9863,0.9863,0.9917
hard_vote_top_5_banglasarc_binary,hard_vote,top_5,banglasarc,binary,5,0.9855,0.9863,0.9863,0.9917
soft_vote_top_5_banglasarc_binary,soft_vote,top_5,banglasarc,binary,5,0.9855,0.9863,0.9863,0.9917
stacking_top_5_banglasarc_binary,stacking,top_5,banglasarc,binary,5,0.9855,0.9863,0.9863,0.9917
hard_vote_all_banglasarc_binary,hard_vote,all,banglasarc,binary,16,0.9855,0.9863,0.9863,0.9917
soft_vote_all_banglasarc_binary,soft_vote,all,banglasarc,binary,16,0.9855,0.9863,0.9863,0.9917
stacking_all_banglasarc_binary,stacking,all,banglasarc,binary,16,0.9876,0.9883,0.9883,0.9917
hard_vote_diverse_banglasarc_binary,hard_vote,diverse,banglasarc,binary,5,0.9711,0.9727,0.9727,0.9834
soft_vote_diverse_banglasarc_binary,soft_vote,diverse,banglasarc,binary,5,0.9732,0.9746,0.9746,0.9855
stacking_diverse_banglasarc_binary,stacking,diverse,banglasarc,binary,5,0.9897,0.9902,0.9902,0.9896
hard_vote_top_3_banglasarc3_binary,hard_vote,top_3,banglasarc3,binary,3,0.7505,0.7505,0.7506,0.7842
soft_vote_top_3_banglasarc3_binary,soft_vote,top_3,banglasarc3,binary,3,0.7505,0.7505,0.7506,0.7842
stacking_top_3_banglasarc3_binary,stacking,top_3,banglasarc3,binary,3,0.768,0.768,0.7681,0.7892
hard_vote_top_5_banglasarc3_binary,hard_vote,top_5,banglasarc3,binary,5,0.7518,0.7518,0.7519,0.7918
soft_vote_top_5_banglasarc3_binary,soft_vote,top_5,banglasarc3,binary,5,0.7505,0.7505,0.7506,0.788
stacking_top_5_banglasarc3_binary,stacking,top_5,banglasarc3,binary,5,0.7679,0.7679,0.7681,0.7905
hard_vote_all_banglasarc3_binary,hard_vote,all,banglasarc3,binary,16,0.7531,0.7531,0.7531,0.793
soft_vote_all_banglasarc3_binary,soft_vote,all,banglasarc3,binary,16,0.7518,0.7518,0.7519,0.7917
stacking_all_banglasarc3_binary,stacking,all,banglasarc3,binary,16,0.7581,0.7581,0.7581,0.8067
hard_vote_diverse_banglasarc3_binary,hard_vote,diverse,banglasarc3,binary,5,0.7556,0.7556,0.7556,0.7804
soft_vote_diverse_banglasarc3_binary,soft_vote,diverse,banglasarc3,binary,5,0.7556,0.7556,0.7556,0.7731
stacking_diverse_banglasarc3_binary,stacking,diverse,banglasarc3,binary,5,0.7643,0.7643,0.7643,0.7867
hard_vote_top_3_banglasarc3_ternary,hard_vote,top_3,banglasarc3,ternary,3,0.6481,0.6482,0.6507,0.6824
soft_vote_top_3_banglasarc3_ternary,soft_vote,top_3,banglasarc3,ternary,3,0.6481,0.6482,0.6507,0.6824
stacking_top_3_banglasarc3_ternary,stacking,top_3,banglasarc3,ternary,3,0.6611,0.6612,0.6639,0.6867
hard_vote_top_5_banglasarc3_ternary,hard_vote,top_5,banglasarc3,ternary,5,0.6576,0.6576,0.6598,0.6822
soft_vote_top_5_banglasarc3_ternary,soft_vote,top_5,banglasarc3,ternary,5,0.6505,0.6506,0.6531,0.6816
stacking_top_5_banglasarc3_ternary,stacking,top_5,banglasarc3,ternary,5,0.6547,0.6548,0.6573,0.6919
hard_vote_all_banglasarc3_ternary,hard_vote,all,banglasarc3,ternary,17,0.6664,0.6665,0.6697,0.6778
soft_vote_all_banglasarc3_ternary,soft_vote,all,banglasarc3,ternary,17,0.6561,0.6562,0.6598,0.6826
stacking_all_banglasarc3_ternary,stacking,all,banglasarc3,ternary,17,0.6551,0.6552,0.6573,0.6912
hard_vote_diverse_banglasarc3_ternary,hard_vote,diverse,banglasarc3,ternary,5,0.6347,0.6348,0.6366,0.6572
soft_vote_diverse_banglasarc3_ternary,soft_vote,diverse,banglasarc3,ternary,5,0.6362,0.6364,0.6399,0.6679
stacking_diverse_banglasarc3_ternary,stacking,diverse,banglasarc3,ternary,5,0.6431,0.6432,0.6457,0.6894
hard_vote_top_3_ben_sarc_binary,hard_vote,top_3,ben_sarc,binary,3,0.8037,0.8037,0.8042,0.8061
soft_vote_top_3_ben_sarc_binary,soft_vote,top_3,ben_sarc,binary,3,0.808,0.808,0.8081,0.8073
stacking_top_3_ben_sarc_binary,stacking,top_3,ben_sarc,binary,3,0.8061,0.8061,0.8062,0.8066
hard_vote_top_5_ben_sarc_binary,hard_vote,top_5,ben_sarc,binary,5,0.8104,0.8104,0.8105,0.805
soft_vote_top_5_ben_sarc_binary,soft_vote,top_5,ben_sarc,binary,5,0.8089,0.8089,0.8089,0.806
stacking_top_5_ben_sarc_binary,stacking,top_5,ben_sarc,binary,5,0.8112,0.8112,0.8112,0.8061
hard_vote_all_ben_sarc_binary,hard_vote,all,ben_sarc,binary,16,0.8151,0.8151,0.8151,0.8077
soft_vote_all_ben_sarc_binary,soft_vote,all,ben_sarc,binary,16,0.8186,0.8186,0.8186,0.8069
stacking_all_ben_sarc_binary,stacking,all,ben_sarc,binary,16,0.8077,0.8077,0.8077,0.8077
hard_vote_diverse_ben_sarc_binary,hard_vote,diverse,ben_sarc,binary,5,0.7964,0.7964,0.7964,0.7859
soft_vote_diverse_ben_sarc_binary,soft_vote,diverse,ben_sarc,binary,5,0.7975,0.7975,0.7976,0.7938
stacking_diverse_ben_sarc_binary,stacking,diverse,ben_sarc,binary,5,0.813,0.813,0.8132,0.8112
